Date,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Equilibre TCS moyen,Température,Nombre de circuits,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
31/12/2021 10:05,"12,43",740,01:00:00,149,179,"3,0",171,215,04:50,02:27,244,237,"1,20","7,8","9,1",219,"49,5% G / 50,5% D","11,0",20,00:59:49,01:18:12,130,184
30/12/2021 11:19,"14,77",876,01:01:22,154,177,"3,7",179,200,04:09,03:10,42,40,"1,34","6,5","8,9",204,"49,0% G / 51,0% D","16,0",3,01:01:22,01:01:22,128,155
29/12/2021 18:08,"12,55",807,00:57:26,156,179,"3,6",166,256,04:34,02:22,28,32,"1,29","6,4","7,9",239,"50,0% G / 50,0% D","10,0",25,00:53:42,01:01:45,128,139
28/12/2021 09:22,"12,24",755,00:52:30,155,179,"3,6",180,198,04:17,02:40,30,36,"1,28","6,7","8,7",208,"48,8% G / 51,2% D","11,0",9,00:52:25,00:52:30,136,149
27/12/2021 08:13,"6,55",409,00:30:00,145,156,"2,7",180,187,04:35,04:01,16,14,"1,20","7,0","8,6",211,"48,8% G / 51,2% D","9,0",1,00:30:00,00:30:00,143,153
26/12/2021 09:36,"17,37",1.004,01:10:01,156,176,"4,0",180,198,04:02,02:43,48,45,"1,36","6,3","8,8",201,"49,3% G / 50,7% D","6,0",13,01:09:59,01:10:43,131,155
24/12/2021 09:39,"17,02",945,01:15:37,148,171,"3,1",177,208,04:27,02:28,123,121,"1,25","6,8","8,4",216,"49,3% G / 50,7% D","8,0",17,01:15:18,01:15:37,143,195
23/12/2021 10:35,"13,81",799,01:00:56,144,165,"3,1",182,209,04:25,02:16,27,15,"1,20","6,9","8,5",208,"49,0% G / 51,0% D","3,0",1,01:00:51,01:00:56,133,148
22/12/2021 10:33,"16,03",851,01:09:45,151,176,"3,3",178,213,04:21,02:56,28,12,"1,24","6,6","8,2",206,"49,0% G / 51,0% D","3,0",13,01:09:17,01:14:27,124,140
21/12/2021 08:43,"6,04",356,00:29:50,141,153,"2,3",178,186,04:57,04:00,22,13,"1,11","7,9","8,8",212,"48,7% G / 51,3% D","6,0",1,00:29:50,00:29:50,124,135
20/12/2021 11:11,"10,01",554,00:43:40,146,160,"2,9",179,191,04:22,03:50,25,19,"1,27","6,9","9,0",206,"48,4% G / 51,6% D","9,0",1,00:43:36,00:43:40,143,156
19/12/2021 09:34,"16,28",926,01:15:07,149,178,"3,1",170,256,04:37,02:36,96,103,"1,19","7,3","8,6",223,"49,7% G / 50,3% D","6,0",11,01:10:46,01:35:44,151,174
18/12/2021 11:21,"12,16",679,00:51:51,149,158,"3,1",180,220,04:16,02:16,31,22,"1,29","6,7","8,7",205,"48,3% G / 51,7% D","10,0",1,00:51:48,00:53:14,142,160
17/12/2021 17:56,"10,36",628,00:51:38,144,178,"3,1",169,211,04:59,02:17,69,66,"1,16","8,0","9,0",224,"49,0% G / 51,0% D","11,0",3,00:51:07,01:01:02,134,146
16/12/2021 08:35,"12,63",717,00:56:56,147,157,"3,0",178,211,04:30,03:33,15,18,"1,16","7,7","9,1",209,"48,5% G / 51,5% D","11,0",1,00:56:56,00:56:56,119,131
15/12/2021 08:36,"14,10",808,01:00:30,152,178,"3,4",174,208,04:17,02:32,12,11,"1,30","7,1","9,1",201,"49,6% G / 50,4% D","9,0",11,01:00:21,01:05:27,121,129
14/12/2021 08:33,"6,46",376,00:31:05,147,169,"2,7",176,205,04:49,02:20,15,12,"1,10","8,4","9,3",209,"49,0% G / 51,0% D","8,0",1,00:31:04,00:31:05,120,126
