,Date,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Equilibre TCS moyen,Température,Nombre de circuits,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
0,2021-12-31 10:05:00,12.43,740.0,3600,149.0,179.0,3.0,171,215,290,147,244.0,237.0,1.2,7.8,9.1,219.0,"49,5% G / 50,5% D",11.0,20,3589,4692,130,184
1,2021-12-30 11:19:00,14.77,876.0,3682,154.0,177.0,3.7,179,200,249,190,42.0,40.0,1.34,6.5,8.9,204.0,"49,0% G / 51,0% D",16.0,3,3682,3682,128,155
2,2021-12-29 18:08:00,12.55,807.0,3446,156.0,179.0,3.6,166,256,274,142,28.0,32.0,1.29,6.4,7.9,239.0,"50,0% G / 50,0% D",10.0,25,3222,3705,128,139
3,2021-12-28 09:22:00,12.24,755.0,3150,155.0,179.0,3.6,180,198,257,160,30.0,36.0,1.28,6.7,8.7,208.0,"48,8% G / 51,2% D",11.0,9,3145,3150,136,149
4,2021-12-27 08:13:00,6.55,409.0,1800,145.0,156.0,2.7,180,187,275,241,16.0,14.0,1.2,7.0,8.6,211.0,"48,8% G / 51,2% D",9.0,1,1800,1800,143,153
5,2021-12-26 09:36:00,17.37,1.004,4201,156.0,176.0,4.0,180,198,242,163,48.0,45.0,1.36,6.3,8.8,201.0,"49,3% G / 50,7% D",6.0,13,4199,4243,131,155
6,2021-12-24 09:39:00,17.02,945.0,4537,148.0,171.0,3.1,177,208,267,148,123.0,121.0,1.25,6.8,8.4,216.0,"49,3% G / 50,7% D",8.0,17,4518,4537,143,195
7,2021-12-23 10:35:00,13.81,799.0,3656,144.0,165.0,3.1,182,209,265,136,27.0,15.0,1.2,6.9,8.5,208.0,"49,0% G / 51,0% D",3.0,1,3651,3656,133,148
8,2021-12-22 10:33:00,16.03,851.0,4185,151.0,176.0,3.3,178,213,261,176,28.0,12.0,1.24,6.6,8.2,206.0,"49,0% G / 51,0% D",3.0,13,4157,4467,124,140
9,2021-12-21 08:43:00,6.04,356.0,1790,141.0,153.0,2.3,178,186,297,240,22.0,13.0,1.11,7.9,8.8,212.0,"48,7% G / 51,3% D",6.0,1,1790,1790,124,135
10,2021-12-20 11:11:00,10.01,554.0,2620,146.0,160.0,2.9,179,191,262,230,25.0,19.0,1.27,6.9,9.0,206.0,"48,4% G / 51,6% D",9.0,1,2616,2620,143,156
11,2021-12-19 09:34:00,16.28,926.0,4507,149.0,178.0,3.1,170,256,277,156,96.0,103.0,1.19,7.3,8.6,223.0,"49,7% G / 50,3% D",6.0,11,4246,5744,151,174
12,2021-12-18 11:21:00,12.16,679.0,3111,149.0,158.0,3.1,180,220,256,136,31.0,22.0,1.29,6.7,8.7,205.0,"48,3% G / 51,7% D",10.0,1,3108,3194,142,160
